algorithm,n,output_snr_mean_db,output_snr_sd_db,output_snr_median_db,rmse_mean,frequency_mae_mean_hz,frequency_p95_error_mean_hz,tracker_calls_mean,tracker_calls_median,state_fast_fraction_mean,state_mid_fraction_mean,state_slow_fraction_mean
A0_fixed_notch,1620,-0.7122808527658133,7.881243697911466,-0.2462465489619934,0.2264866768046092,0.9163890494505564,1.0778739802042636,0.0,0.0,0.0,0.0,0.0
A1_fixed_reference_nlms,1620,8.85601839694068,6.621393263874643,8.982444298052567,0.0714561075126399,0.9163890494505564,1.0778739802042636,0.0,0.0,0.0,0.0,0.0
A2_every_block_tracking,1620,12.809531741610186,4.894156966632651,12.262104479893598,0.038682109536155,0.1147643977371262,0.3269305036096043,160.0,160.0,1.0,0.0,0.0
A3_residual_driven_multirate,1620,12.668828105481834,4.782052535626254,12.06872397094663,0.0390731837021211,0.1458089968922697,0.4017959143790314,37.82098765432099,30.0,0.1569834876543209,0.0832041666666666,0.7598123456790121
