BOOT,protocol=cssp-rdmr-pli-v0.3.0,implementation=0.3.2,schema=rdmr-block-csv-v2,firmware_revision=14
CONFIG,protocol=cssp-rdmr-pli-v0.3.0,implementation=0.3.2,schema=rdmr-block-csv-v2,firmware_revision=14,run_id=1,scenario_id=510,algorithm=3,trajectory=2,noise=1,near_line=0,seed=20260727,fs_hz=1000,sample_count=8000,block_size=50,pli_amplitude_u6=1000000,value_scale=1000000,frequency_scale=1000,cycles=block_max
run_id,scenario_id,algorithm,seed,n,input,clean,output,true_frequency,estimated_frequency,estimated_frequency_next,tracker_calls,state,cycles,block_cycles_mean,block_cycles_p95,residual_ratio,desired_energy,input_error_energy,output_error_energy,numeric_flags
1,510,3,20260727,50,1072970,74297,372118,47000,50000,50000,1,0,4250,2068,2089,146766,1657941,25029556,7490132,0
1,510,3,20260727,100,-759458,-71268,92235,47000,50000,47600,2,0,7412420,150239,2078,363965,88319,23689756,4184058,0
1,510,3,20260727,150,-146764,9483,-142280,47000,47600,47037,3,0,11028439,222564,2090,396201,1062586,25896932,1485995,0
1,510,3,20260727,200,945321,60119,82418,47000,47037,46971,4,0,14695391,295904,2077,286879,2030073,25649804,144987,0
1,510,3,20260727,250,-971322,-80157,-84966,47000,46971,46955,5,0,18369859,369397,2079,201637,457865,23626066,17995,0
1,510,3,20260727,300,183401,34111,20364,47000,46955,46988,6,0,21835448,438716,2089,141183,462054,24915616,13222,0
1,510,3,20260727,350,775335,40056,85859,47000,46988,46997,7,0,25737069,516740,2098,99093,2031670,26502600,27032,0
1,510,3,20260727,400,-1062680,-81200,-79827,47000,46997,46999,8,0,29534115,592690,2103,69512,1057403,24363890,12514,0
1,510,3,20260727,450,499758,55400,32587,47000,46999,46999,9,0,29606624,594126,2094,49028,89916,24282118,9436,0
1,510,3,20260727,500,465701,16073,38363,47000,46999,46999,10,0,29604323,594083,2108,34351,1662118,26124168,21196,0
1,510,3,20260727,550,-1072372,-74295,-105962,47000,46999,46999,11,0,29666335,595326,2090,24106,1658148,24829500,23753,0
1,510,3,20260727,600,786643,71265,74331,47000,46999,46999,11,1,2879,2056,2091,17624,88314,23679248,13548,0
1,510,3,20260727,650,144408,-9482,4270,47000,46999,46999,11,1,2880,2050,2083,12602,1062577,26002000,15930,0
1,510,3,20260727,700,-932959,-60117,-58368,47000,46999,46999,12,1,29547716,592950,2086,8970,2030062,25887004,21431,0
