BOOT,protocol=cssp-rdmr-pli-v0.3.0,implementation=0.3.2,schema=rdmr-block-csv-v2,firmware_revision=14
CONFIG,protocol=cssp-rdmr-pli-v0.3.0,implementation=0.3.2,schema=rdmr-block-csv-v2,firmware_revision=14,run_id=1,scenario_id=508,algorithm=3,trajectory=2,noise=1,near_line=0,seed=20260727,fs_hz=1000,sample_count=8000,block_size=50,pli_amplitude_u6=500000,value_scale=1000000,frequency_scale=1000,cycles=block_max
run_id,scenario_id,algorithm,seed,n,input,clean,output,true_frequency,estimated_frequency,estimated_frequency_next,tracker_calls,state,cycles,block_cycles_mean,block_cycles_p95,residual_ratio,desired_energy,input_error_energy,output_error_energy,numeric_flags
1,508,3,20260727,50,579345,74297,236910,47000,50000,50000,1,0,4222,2071,2084,93133,1657941,6277437,1860498,0
1,508,3,20260727,100,-405053,-71268,19953,47000,50000,47712,2,0,7483627,151662,2075,187265,88319,5929631,1065751,0
1,508,3,20260727,150,-69791,9483,-82204,47000,47712,47103,3,0,10973994,221477,2095,197705,1062586,6494378,400283,0
1,508,3,20260727,200,500463,60119,79227,47000,47103,46988,4,0,14819604,298389,2104,141821,2030073,6382254,67048,0
1,508,3,20260727,250,-525350,-80157,-83998,47000,46988,46997,5,0,18592632,373856,2091,100013,457865,5902362,16460,0
1,508,3,20260727,300,103973,34111,14281,47000,46997,46999,6,0,22233854,446679,2095,70160,462054,6210737,12919,0
1,508,3,20260727,350,422771,40056,87410,47000,46999,46999,7,0,25905512,520107,2099,49249,2031670,6683015,26310,0
1,508,3,20260727,400,-568813,-81200,-79682,47000,46999,46999,8,0,29749486,596990,2103,34583,1057403,6148074,12511,0
1,508,3,20260727,450,271743,55400,32426,47000,46999,46999,9,0,29698816,595971,2079,24663,89916,6099679,9450,0
1,508,3,20260727,500,239912,16073,38401,47000,46999,46999,9,1,2860,2048,2082,17294,1662118,6491557,21179,0
1,508,3,20260727,550,-578958,-74295,-106080,47000,46999,46999,9,1,2896,2049,2096,12163,1658148,6180767,23710,0
1,508,3,20260727,600,432396,71265,74327,47000,46999,46999,10,1,29646729,594924,2092,9283,88314,5930180,13570,0
1,508,3,20260727,650,67461,-9482,4273,47000,46999,46999,10,2,2867,2048,2072,6764,1062577,6554196,15930,0
1,508,3,20260727,700,-488290,-60117,-58368,47000,46999,46999,10,2,2864,2048,2073,4883,2030062,6505875,21430,0
1,508,3,20260727,750,549983,80154,105401,47000,46999,46999,10,2,2859,2055,2095,3599,457859,5969034,19200,0
1,508,3,20260727,800,-109889,-34110,-16895,47000,46999,46999,10,2,2831,2057,2095,2751,462047,6233195,13308,0
1,508,3,20260727,850,-372223,-40055,-39118,47000,46999,46999,10,2,2808,2049,2081,1961,2031656,6550493,18706,0
1,508,3,20260727,900,587764,81197,108042,47000,46999,46999,10,2,2859,2050,2083,1502,1057394,5958249,16340,0
1,508,3,20260727,950,-271957,-55397,-40836,47000,46999,46999,10,2,2838,2053,2081,4178,89910,6141449,15783,0
1,508,3,20260727,1000,-258740,-16073,-54646,47000,46999,46999,10,2,2928,2054,2074,3080,1662106,6563156,16574,0
1,508,3,20260727,1050,571903,74292,95529,47000,46999,46999,10,2,2855,2054,2077,2215,1657917,6119148,17579,0
1,508,3,20260727,1100,-426273,-71262,-70291,47000,46999,46999,10,2,2865,2062,2096,1626,88309,5947662,15183,0
1,508,3,20260727,1150,-76265,9481,-11209,47000,46999,46999,10,2,2863,2051,2087,1363,1062565,6476236,12034,0
