BOOT,protocol=cssp-rdmr-pli-v0.3.0,implementation=0.3.2,schema=rdmr-block-csv-v2,firmware_revision=14
CONFIG,protocol=cssp-rdmr-pli-v0.3.0,implementation=0.3.2,schema=rdmr-block-csv-v2,firmware_revision=14,run_id=1,scenario_id=504,algorithm=3,trajectory=1,noise=1,near_line=0,seed=20260727,fs_hz=1000,sample_count=8000,block_size=50,pli_amplitude_u6=500000,value_scale=1000000,frequency_scale=1000,cycles=block_max
run_id,scenario_id,algorithm,seed,n,input,clean,output,true_frequency,estimated_frequency,estimated_frequency_next,tracker_calls,state,cycles,block_cycles_mean,block_cycles_p95,residual_ratio,desired_energy,input_error_energy,output_error_energy,numeric_flags
1,504,3,20260727,50,442794,74297,195002,49000,50000,50000,1,0,4194,2067,2093,107338,1657941,6367463,1657291,0
1,504,3,20260727,100,-498364,-71268,-102286,49000,50000,49175,2,0,7468843,151372,2105,213595,88319,6263119,156056,0
1,504,3,20260727,150,501708,9483,-1093,49000,49175,49006,3,0,11054290,223084,2115,165568,1062586,6219255,69547,0
1,504,3,20260727,200,-437321,60119,68532,49000,49006,49001,4,0,14799105,297981,2100,116533,2030073,6039386,22846,0
1,504,3,20260727,250,363699,-80157,-83916,49000,49001,49000,5,0,18386523,369734,2112,81762,457865,6139171,12952,0
1,504,3,20260727,300,-325320,34111,15399,49000,49000,49000,6,0,21913981,440283,2091,57518,462054,6238761,12717,0
1,504,3,20260727,350,292625,40056,86238,49000,49000,49000,7,0,25745910,516918,2102,40609,2031670,6221150,25255,0
1,504,3,20260727,400,-148160,-81200,-79528,49000,49000,49000,8,0,29684745,595698,2097,28506,1057403,6266836,11995,0
1,504,3,20260727,450,-39412,55400,33264,49000,49000,49000,9,0,29347731,588950,2079,21268,89916,6325778,9384,0
1,504,3,20260727,500,245464,16073,36881,49000,49000,49000,9,1,2854,2049,2095,15062,1662118,6222183,20265,0
1,504,3,20260727,550,-442424,-74295,-106157,49000,49000,49000,9,1,2860,2053,2091,10726,1658148,6299425,22744,0
1,504,3,20260727,600,525623,71265,74925,49000,49000,49000,10,1,29783335,597660,2099,10057,88314,6228030,13212,0
1,504,3,20260727,650,-503745,-9482,3657,49000,49000,49000,10,2,2828,2052,2095,7758,1062577,6073334,15236,0
1,504,3,20260727,700,449040,-60117,-58188,49000,49000,49000,10,2,2862,2054,2091,5561,2030062,6168444,20415,0
1,504,3,20260727,750,-338634,80154,106750,49000,49000,49000,10,2,2864,2053,2081,4093,457859,6159781,18896,0
1,504,3,20260727,800,319178,-34110,-18007,49000,49000,49000,10,2,2853,2057,2097,3481,462047,6189827,13117,0
1,504,3,20260727,850,-242109,-40055,-37875,49000,49000,49000,10,2,2860,2054,2094,2625,2031656,6221121,17869,0
1,504,3,20260727,900,167291,81197,107630,49000,49000,49000,10,2,2847,2051,2073,1965,1057394,6282403,15796,0
1,504,3,20260727,950,39043,-55397,-40827,49000,49000,49000,10,2,2845,2046,2066,5039,89910,6550820,15348,0
1,504,3,20260727,1000,-264254,-16073,-53547,49000,49000,49000,10,2,2824,2053,2104,3769,1662106,6337687,15829,0
1,504,3,20260727,1050,435386,74292,94274,49000,49000,49000,10,2,2848,2052,2094,2661,1657917,6170791,16928,0
1,504,3,20260727,1100,-519414,-71262,-70876,49000,49000,49000,10,2,2867,2054,2082,2653,88309,6315401,14841,0
1,504,3,20260727,1150,494647,9481,-10026,49000,49000,49000,10,2,2834,2057,2113,2348,1062565,6099225,11624,0
1,504,3,20260727,1200,-414902,60115,90100,49000,49000,49000,11,2,29590606,593806,2083,2024,2030045,6081733,18381,0
1,504,3,20260727,1250,354100,-80151,-88365,49000,49000,49000,11,2,2826,2052,2094,1550,457852,6037721,18081,0
1,504,3,20260727,1300,-298243,34108,36015,49000,49000,49000,11,2,2856,2056,2082,1393,462038,6130679,19323,0
1,504,3,20260727,1350,260829,40054,58629,49000,49000,49000,11,2,2888,2049,2104,1235,2031640,6202398,22150,0
1,504,3,20260727,1400,-150162,-81194,-86141,49000,49000,49000,11,2,2832,2058,2086,1024,1057385,6187019,12588,0
1,504,3,20260727,1450,-13468,55395,62683,49000,49000,49000,11,2,2827,2051,2086,2709,89904,6382048,10081,0
1,504,3,20260727,1500,249429,16072,38354,49000,49000,49000,11,2,2809,2051,2111,2158,1662092,6301528,21375,0
1,504,3,20260727,1550,-435578,-74289,-95435,49000,49000,49000,11,2,2788,2050,2094,1660,1657905,6298575,15666,0
1,504,3,20260727,1600,501203,71259,62004,49000,49000,49000,11,2,2845,2046,2086,2290,88304,6073130,15794,0
1,504,3,20260727,1650,-476521,-9481,32902,49000,49000,49000,11,2,2821,2043,2082,2529,1062555,6210203,18594,0
