trajectory,n,snr_difference_definition,snr_difference_mean_db,snr_difference_sd_db,snr_difference_median_db,snr_difference_q1_db,snr_difference_q3_db,bootstrap_ci95_mean_lower_db,bootstrap_ci95_mean_upper_db,paired_effect_cohen_dz,wilcoxon_two_sided_p_raw,holm_family,noninferiority_margin_db,noninferiority_ci_lower_above_margin,wilcoxon_two_sided_p_holm,holm_reject_equal_median_at_0p05
F0,270,A3_minus_A2_db,-0.009423637609328968,0.03381726064477083,-2.1298363162003398e-07,-0.0005215731505412435,6.648668207098751e-07,-0.013688840572396235,-0.00573080365250602,-0.27866354132933435,1.5883736881586691e-06,six_trajectory_output_snr_secondary_comparisons,-0.5,1,3.1767473763173383e-06,1
F1,270,A3_minus_A2_db,-0.0005339306139257359,0.0019524525258480584,0.0,-1.2608279424952684e-06,8.370232338350547e-07,-0.0007807663909325601,-0.0003130208061944228,-0.2734666307411599,0.1586475663022655,six_trajectory_output_snr_secondary_comparisons,-0.5,1,0.1586475663022655,0
F2,270,A3_minus_A2_db,-0.0009876893173093532,0.0024459777656425903,-1.1011068257182899e-07,-0.0002716195175058722,1.768587112316311e-07,-0.0012856346601895774,-0.0007067226215433792,-0.40380142909838523,6.43975816527981e-08,six_trajectory_output_snr_secondary_comparisons,-0.5,1,1.9319274495839427e-07,1
F3,270,A3_minus_A2_db,-0.34444014583930704,0.260425512219917,-0.2329465772577537,-0.5416673983456315,-0.17296686309260312,-0.37599689431601396,-0.31369439610175837,-1.3226052351907969,4.927374817504415e-46,six_trajectory_output_snr_secondary_comparisons,-0.5,1,2.956424890502649e-45,1
F4,270,A3_minus_A2_db,-0.38041448047935034,0.44064284878832494,-0.18650582938944194,-0.45354304354687036,-0.06739686954570234,-0.43385576342139165,-0.32877412671900497,-0.8633170412850454,4.927374817504415e-46,six_trajectory_output_snr_secondary_comparisons,-0.5,1,2.956424890502649e-45,1
F5,270,A3_minus_A2_db,-0.10842193291088714,0.09006739381907021,-0.09113296040508612,-0.15587629873166575,-0.04173685295276108,-0.11944790311463203,-0.09797212519497253,-1.203786723624845,4.927374817504415e-46,six_trajectory_output_snr_secondary_comparisons,-0.5,1,2.956424890502649e-45,1
