algorithm_id,algorithm,near_line,n,output_snr_db_mean,output_snr_db_sd,output_snr_db_median,output_snr_db_q1,output_snr_db_q3,rmse_mean,rmse_sd,rmse_median,rmse_q1,rmse_q3,f42_amplitude_error_mean,f42_amplitude_error_sd,f42_amplitude_error_median,f42_amplitude_error_q1,f42_amplitude_error_q3,f42_phase_error_rad_mean,f42_phase_error_rad_sd,f42_phase_error_rad_median,f42_phase_error_rad_q1,f42_phase_error_rad_q3,f58_amplitude_error_mean,f58_amplitude_error_sd,f58_amplitude_error_median,f58_amplitude_error_q1,f58_amplitude_error_q3,f58_phase_error_rad_mean,f58_phase_error_rad_sd,f58_phase_error_rad_median,f58_phase_error_rad_q1,f58_phase_error_rad_q3
0,A0_fixed_notch,N0,90,10.957876988001017,4.683602401514895,10.895367050587257,5.299393570293562,16.651217406817544,0.04735466393495837,0.024129267103395743,0.04153208400459095,0.021408744848381074,0.07910107736867203,0.0013973424861026167,0.0008287304173062119,0.0012081713575723,0.00072589155261165,0.002194482531416,,,,,,0.0014123047375472159,0.0008308019400024793,0.0012372690309244,0.00071682943726205,0.002269320943592075,,,,,
0,A0_fixed_notch,N1,90,11.109826439636217,4.601316163947432,11.079982463561947,5.557899749631957,16.623820338245185,0.04767581459991721,0.02397672398661851,0.0418401115370316,0.022100441031188325,0.07901271223728545,-0.00017437424726114814,0.0010485544947203185,-0.00024687642814325,-0.000676221340878975,0.0004510844690605,-0.09604367464232456,0.024953321558341398,-0.09730807834250216,-0.11302815414143777,-0.0812484765289536,0.0014136058015692503,0.000830486776640487,0.00122835494790785,0.000712061611041625,0.0022707064268120748,,,,,
0,A0_fixed_notch,N2,90,11.092016077469134,4.587139490455569,11.068306430767556,5.5379934061151435,16.619324660401762,0.04773765612601658,0.023952578457908963,0.04189624557461695,0.022111805486109474,0.07919372030580822,0.0013986445773219547,0.0008285076970774423,0.00120984038403295,0.000719478507126575,0.00219853011313265,,,,,,-0.0003728544247938282,0.0011956524609570214,-0.00027469803595725,-0.001020708131774425,0.0001565725623844494,0.1112319845754963,0.02269154653019875,0.10712595705508066,0.09849973418831554,0.12497742316053292
0,A0_fixed_notch,N3,90,11.235458219212589,4.509980327757574,11.247421713858696,5.743943676668991,16.69223481404397,0.04804977213288174,0.023805216046559653,0.0421682019215752,0.022529130355839602,0.07946190820509505,-0.000161390646882142,0.0010499591833970942,-0.00023448338004640001,-0.000669325165289975,0.00047602639110822496,-0.0960080534215462,0.024945661390126786,-0.0973708354013158,-0.11313880324948565,-0.0811893680695292,-0.000361946349917528,0.0011961111744485402,-0.0002541758075302,-0.00101343158652775,0.00016772052035306782,0.11119253146974234,0.022721913370331016,0.10696914241614561,0.09835258806550026,0.1251097910817906
1,A1_fixed_reference_nlms,N0,90,15.622848711669182,2.1588957170969643,16.168981671717937,12.829608885303667,17.86801236771847,0.024863739127883797,0.006372513254998298,0.02263096107555505,0.018610217941544452,0.03324081269717742,0.0011619774044496678,0.0006904887638786089,0.00100306784339345,0.000612265545981025,0.001845510142075525,,,,,,0.0011042140788937733,0.0006497532759311021,0.00095800841157525,0.000529244018871775,0.001794313957249825,,,,,
1,A1_fixed_reference_nlms,N1,90,13.165019672889839,1.2442336324554824,13.578308197458863,11.605742827551392,14.380920632494094,0.03325336327846541,0.004903320283596895,0.03138171068334125,0.02861184911798525,0.039382655252198195,-0.008534826451726226,0.0008725330147552985,-0.0085935705971655,-0.008956193169918174,-0.0080124224914086,-0.6501548492142742,0.024979703233005045,-0.6515283203841498,-0.6672741183281352,-0.6354737210178352,0.0011054316244346414,0.0006466815972388084,0.0009585221390982,0.000555718270536025,0.0017909316385842499,,,,,
1,A1_fixed_reference_nlms,N2,90,12.792970342249752,1.1497353714382728,13.18139335463159,11.310000769568479,13.922245265027348,0.03465577396730744,0.004714806419195485,0.032848941475308646,0.03016325258204455,0.040746508809966824,0.0011611543247111022,0.0006904169581374174,0.0009852001062444,0.000580408220203875,0.0018472790087219499,,,,,,-0.011122793206089863,0.0009356298003629662,-0.01104811722821295,-0.011628525530311976,-0.0107064488976915,0.7268908065968527,0.02267393264791817,0.7228364150625295,0.7141988958775971,0.7406908366678369
1,A1_fixed_reference_nlms,N3,90,11.547049384440248,0.84026746580583,11.868539239478785,10.47728419359453,12.35994611892852,0.040930239384871024,0.004049894011929725,0.03925809550197835,0.03709871472467252,0.04607784881703625,-0.00848552334777078,0.0008734369745266393,-0.008544563162813951,-0.008912544344169824,-0.00795563769827295,-0.6491677889372492,0.02495367706895615,-0.6506514810345743,-0.6664545318242294,-0.6344760058309409,-0.011071908018019624,0.0009359672011962099,-0.0109925011079535,-0.011580281356007475,-0.010655944471178076,0.7259255868615873,0.022679048570913646,0.721734572090412,0.7131590151784742,0.7398424127475599
2,A2_every_block_tracking,N0,90,15.601842185222138,2.1659206198443526,16.141215844650873,12.781932087930821,17.857415931228363,0.024928969460106174,0.006409420642535587,0.022703431447112753,0.018632935469869674,0.0334237736788218,0.0011652395978051578,0.0006885528689291865,0.0009954488394096,0.000608507122070025,0.00186886226845395,,,,,,0.001106206505211367,0.0006520466747881673,0.00096951547719645,0.000536881237398775,0.0017850113592756001,,,,,
2,A2_every_block_tracking,N1,90,13.143464330736464,1.2478943987831217,13.5450458233502,11.6016070736605,14.367564465006167,0.033338063001151046,0.004931158088856494,0.03150211312946035,0.0286558790822195,0.03940139581246518,-0.008532023964570748,0.0008780628557508582,-0.00859035790496965,-0.00892040033189895,-0.00803679739245375,-0.6499859477485377,0.025171721627105143,-0.6521779823325331,-0.66727829793888,-0.6348478169043368,0.0011079597672935281,0.0006463276414816012,0.000961616768121,0.000562338461551175,0.0017956784585410998,,,,,
