BOOT,protocol=cssp-rdmr-pli-v0.3.0,implementation=0.3.2,schema=rdmr-block-csv-v2,firmware_revision=15
CONFIG,protocol=cssp-rdmr-pli-v0.3.0,implementation=0.3.2,schema=rdmr-block-csv-v2,firmware_revision=15,run_id=1,scenario_id=504,algorithm=3,trajectory=1,noise=1,near_line=0,seed=20260727,fs_hz=1000,sample_count=8000,block_size=50,pli_amplitude_u6=500000,value_scale=1000000,frequency_scale=1000,cycles=block_max
run_id,scenario_id,algorithm,seed,n,input,clean,output,true_frequency,estimated_frequency,estimated_frequency_next,tracker_calls,state,cycles,block_cycles_mean,block_cycles_p95,residual_ratio,desired_energy,input_error_energy,output_error_energy,numeric_flags
1,504,3,20260727,50,442794,74297,194997,49000,50000,50000,1,0,4049,1214,1159,109968,1657941,6367463,1657239,0
1,504,3,20260727,100,-498364,-71268,-102186,49000,50000,49175,2,0,4146931,84043,1151,263882,88319,6263119,155789,0
1,504,3,20260727,150,501708,9483,-1125,49000,49175,49006,3,0,6142995,123970,1162,201845,1062586,6219255,69263,0
1,504,3,20260727,200,-437321,60119,68534,49000,49006,49001,4,0,8215701,165424,1163,141949,2030073,6039386,22843,0
1,504,3,20260727,250,363699,-80157,-83916,49000,49001,49000,5,0,10218148,205478,1170,99588,457865,6139171,12952,0
1,504,3,20260727,300,-325320,34111,15399,49000,49000,49000,6,0,12191494,244945,1165,70043,462054,6238761,12716,0
1,504,3,20260727,350,292625,40056,86238,49000,49000,49000,7,0,14304661,287205,1160,49390,2031670,6221150,25255,0
1,504,3,20260727,400,-148160,-81200,-79528,49000,49000,49000,8,0,16736585,335848,1166,34659,1057403,6266836,11995,0
1,504,3,20260727,450,-39412,55400,33264,49000,49000,49000,9,0,16585580,332823,1154,26662,89916,6325778,9384,0
1,504,3,20260727,500,245464,16073,36881,49000,49000,49000,9,1,1825,1145,1156,18846,1662118,6222183,20265,0
1,504,3,20260727,550,-442424,-74295,-106157,49000,49000,49000,9,1,1595,1141,1159,13384,1657929,6299425,22744,0
1,504,3,20260727,600,525623,71265,74925,49000,49000,49000,10,1,16854253,338195,1167,13693,88314,6228030,13212,0
1,504,3,20260727,650,-503745,-9482,3657,49000,49000,49000,10,2,1571,1142,1162,10355,1062577,6073334,15236,0
1,504,3,20260727,700,449040,-60117,-58188,49000,49000,49000,10,2,1593,1145,1161,7384,2030062,6168444,20415,0
1,504,3,20260727,750,-338634,80154,106750,49000,49000,49000,10,2,1593,1145,1158,5401,457859,6159781,18896,0
1,504,3,20260727,800,319178,-34110,-18007,49000,49000,49000,10,2,1598,1147,1163,4495,462047,6189827,13117,0
1,504,3,20260727,850,-242109,-40055,-37875,49000,49000,49000,10,2,1590,1143,1160,3342,2031656,6221121,17869,0
1,504,3,20260727,900,167291,81197,107630,49000,49000,49000,10,2,1576,1142,1150,2477,1057394,6282403,15796,0
1,504,3,20260727,950,39043,-55397,-40827,49000,49000,49000,10,2,1576,1140,1152,8100,89910,6550820,15348,0
1,504,3,20260727,1000,-264254,-16073,-53547,49000,49000,49000,10,2,1579,1143,1163,5923,1662106,6337687,15829,0
1,504,3,20260727,1050,435386,74292,94274,49000,49000,49000,10,2,1584,1142,1165,4170,1657917,6170791,16928,0
1,504,3,20260727,1100,-519414,-71262,-70876,49000,49000,49000,10,2,1583,1145,1161,4266,88309,6315401,14841,0
1,504,3,20260727,1150,494647,9481,-10026,49000,49000,49000,10,2,1574,1146,1169,3514,1062565,6099225,11624,0
1,504,3,20260727,1200,-414902,60115,90100,49000,49000,49000,11,2,16694928,335010,1158,2856,2030045,6081733,18381,0
1,504,3,20260727,1250,354100,-80151,-88365,49000,49000,49000,11,2,1576,1143,1161,2154,457852,6037721,18081,0
1,504,3,20260727,1300,-298243,34108,36015,49000,49000,49000,11,2,1686,1147,1156,1863,462038,6130679,19323,0
1,504,3,20260727,1350,260829,40054,58629,49000,49000,49000,11,2,1597,1140,1169,1574,2031640,6202398,22150,0
1,504,3,20260727,1400,-150162,-81194,-86141,49000,49000,49000,11,2,1567,1145,1159,1274,1057385,6187019,12588,0
1,504,3,20260727,1450,-13468,55395,62683,49000,49000,49000,11,2,1568,1143,1164,4403,89904,6382048,10081,0
1,504,3,20260727,1500,249429,16072,38354,49000,49000,49000,11,2,1559,1143,1174,3356,1662092,6301528,21375,0
1,504,3,20260727,1550,-435578,-74289,-95435,49000,49000,49000,11,2,1571,1143,1163,2506,1657905,6298575,15666,0
1,504,3,20260727,1600,501203,71259,62004,49000,49000,49000,11,2,1583,1142,1161,3679,88304,6073130,15794,0
1,504,3,20260727,1650,-476521,-9481,32902,49000,49000,49000,11,2,1575,1138,1154,3569,1062555,6210203,18594,0
1,504,3,20260727,1700,435738,-60113,-70589,49000,49000,49000,11,2,1566,1142,1158,2536,2030032,6068236,14732,0
1,504,3,20260727,1750,-383116,80148,62921,49000,49000,49000,11,2,1611,1143,1159,2020,457846,6195021,11665,0
1,504,3,20260727,1800,308519,-34106,-33655,49000,49000,49000,12,2,16769149,336494,1153,2646,462032,6254185,10515,0
1,504,3,20260727,1850,-258985,-40053,-50484,49000,49000,49000,12,2,1722,1145,1161,2210,2031627,6190930,19656,0
1,504,3,20260727,1900,132248,81191,71969,49000,49000,49000,12,2,1700,1144,1155,1762,1057376,6126306,14338,0
1,504,3,20260727,1950,38117,-55392,-28774,49000,49000,49000,12,2,1577,1143,1165,9363,89899,6293653,14618,0
1,504,3,20260727,2000,-231160,-16072,-15756,49000,49000,49000,12,2,1565,1143,1161,7002,1662081,6354960,15180,0
1,504,3,20260727,2050,451461,74286,102388,49000,49000,49000,12,2,1579,1140,1162,5139,1657894,6409852,18866,0
1,504,3,20260727,2100,-520733,-71256,-70218,49000,49000,49000,12,2,1571,1144,1158,4091,88299,6227335,11574,0
1,504,3,20260727,2150,503919,9480,-385,49000,49000,49000,12,2,1579,1143,1162,3374,1062546,6121538,16427,0
1,504,3,20260727,2200,-435388,60111,72719,49000,49000,49000,12,2,1612,1144,1161,2450,2030021,6108336,16088,0
1,504,3,20260727,2250,353886,-80145,-91661,49000,49000,49000,12,2,1594,1142,1156,2002,457840,6067316,15824,0
1,504,3,20260727,2300,-314829,34104,20744,49000,49000,49000,12,2,1569,1146,1161,1882,462025,6155413,12111,0
1,504,3,20260727,2350,234162,40051,28793,49000,49000,49000,12,2,1595,1145,1169,1781,2031615,6091007,17831,0
1,504,3,20260727,2400,-156693,-81188,-94214,49000,49000,49000,13,2,16783772,336787,1162,1318,1057368,6466333,17074,0
1,504,3,20260727,2450,-29842,55390,45091,49000,49000,49000,13,2,1575,1142,1154,2848,89894,6303897,13481,0
1,504,3,20260727,2500,238353,16072,20919,49000,49000,49000,13,2,1574,1139,1156,2355,1662069,6364541,16381,0
1,504,3,20260727,2550,-449546,-74284,-109571,49000,49000,49000,13,2,1571,1140,1152,1700,1657882,6206408,26256,0
1,504,3,20260727,2600,503911,71253,58494,49000,49000,49000,13,2,1574,1142,1158,1855,88294,6156000,7808,0
1,504,3,20260727,2650,-499708,-9479,11454,49000,49000,49000,13,2,1581,1140,1155,2199,1062537,6219122,19076,0
1,504,3,20260727,2700,436079,-60109,-70593,49000,49000,49000,13,2,1594,1143,1164,1588,2030006,6078785,17482,0
1,504,3,20260727,2750,-362057,80141,86292,49000,49000,49000,13,2,1570,1146,1163,1242,457833,6221636,12081,0
1,504,3,20260727,2800,330751,-34103,-6365,49000,49000,49000,13,2,1573,1144,1155,2936,462018,6061343,14983,0
1,504,3,20260727,2850,-278727,-40050,-66713,49000,49000,49000,13,2,1573,1142,1168,2303,2031601,6226991,18061,0
1,504,3,20260727,2900,163443,81185,97332,49000,49000,49000,13,2,1575,1142,1157,1616,1057359,6347719,17764,0
1,504,3,20260727,2950,40123,-55387,-32739,49000,49000,49000,13,2,1598,1142,1160,3612,89889,6380465,12026,0
1,504,3,20260727,3000,-250814,-16072,-35370,49000,49000,49000,14,2,16795123,337012,1158,2767,1662055,6397707,14369,0
1,504,3,20260727,3050,421828,74281,76599,49000,49000,49000,14,2,1562,1143,1171,2009,1657868,6326261,16317,0
1,504,3,20260727,3100,-501000,-71250,-56420,49000,49000,49000,14,2,1606,1148,1157,1547,88289,6147075,11045,0
1,504,3,20260727,3150,503224,9478,-4346,49000,49000,49000,14,2,1600,1145,1160,1695,1062526,6160018,14461,0
1,504,3,20260727,3200,-425492,60107,86010,49000,49000,49000,14,2,1601,1142,1152,1263,2029991,6198784,25747,0
1,504,3,20260727,3250,374005,-80138,-70201,49000,49000,49000,14,2,1588,1142,1157,1368,457826,6100290,10898,0
1,504,3,20260727,3300,-321760,34101,10541,49000,49000,49000,14,2,1555,1142,1158,2197,462010,6066488,21881,0
1,504,3,20260727,3350,272490,40049,67774,49000,49000,49000,14,2,1567,1141,1153,1729,2031585,6236685,29891,0
1,504,3,20260727,3400,-176817,-81182,-117511,49000,49000,49000,14,2,1562,1141,1155,1214,1057348,6404506,17584,0
1,504,3,20260727,3450,-5152,55385,72704,49000,49000,49000,14,2,1579,1145,1162,3505,89884,6353807,6946,0
1,504,3,20260727,3500,232706,16072,17745,49000,49000,49000,14,2,1603,1145,1159,2699,1662043,6331137,12874,0
1,504,3,20260727,3550,-442732,-74278,-97973,49000,49000,49000,14,2,1587,1145,1167,2115,1657857,6409147,15914,0
1,504,3,20260727,3600,524463,71247,80455,49000,49000,49000,15,2,16789445,336903,1160,2468,88284,6126301,10403,0
1,504,3,20260727,3650,-529597,-9477,-25102,49000,49000,49000,15,2,1661,1143,1169,2186,1062516,6112896,11776,0
1,504,3,20260727,3700,473295,-60105,-34241,49000,49000,49000,15,2,1582,1142,1164,1715,2029978,6133086,23542,0
1,504,3,20260727,3750,-376991,80135,70066,49000,49000,49000,15,2,1581,1144,1156,1618,457820,6099199,10734,0
1,504,3,20260727,3800,331881,-34099,-3398,49000,49000,49000,15,2,1566,1147,1153,1909,462003,6051953,10498,0
1,504,3,20260727,3850,-264076,-40048,-63240,49000,49000,49000,15,2,1582,1144,1167,1488,2031570,6214394,20434,0
1,504,3,20260727,3900,160620,81179,98225,49000,49000,49000,15,2,1561,1144,1161,1142,1057340,6427019,17725,0
1,504,3,20260727,3950,44352,-55383,-32356,49000,49000,49000,15,2,1600,1145,1169,2638,89878,6442777,9650,0
1,504,3,20260727,4000,-256714,-16072,-41275,49000,49000,49000,15,2,1588,1143,1163,1987,1662029,6298517,11433,0
1,504,3,20260727,4050,152850,74276,-49999,51000,49000,49000,15,2,1565,1143,1160,28185,1657845,6172355,259198,0
1,504,3,20260727,4100,4294,-71244,82632,51000,49000,49112,16,0,16711336,335337,1161,265041,88279,6026328,533942,0
1,504,3,20260727,4150,-215994,9477,-155364,51000,49112,49365,17,0,16710201,335313,1160,268594,1062504,6097442,525796,0
1,504,3,20260727,4200,421900,60103,205925,51000,49365,49841,18,0,16792578,336958,1148,236210,2029961,6255941,436178,0
1,504,3,20260727,4250,-512954,-80132,-138937,51000,49841,50372,19,0,16788151,336871,1151,264261,457814,6218043,283327,0
1,504,3,20260727,4300,524149,34097,38776,51000,50372,50730,20,0,16765197,336416,1160,234522,461995,6382756,116332,0
1,504,3,20260727,4350,-438326,40047,72021,51000,50730,50932,21,0,16760623,336324,1153,165867,2031554,6324586,53121,0
1,504,3,20260727,4400,353131,-81176,-105217,51000,50932,50983,22,0,16692479,334961,1156,117388,1057329,6206091,18536,0
