BOOT,protocol=cssp-rdmr-pli-v0.3.0,implementation=0.3.2,schema=rdmr-block-csv-v2,firmware_revision=15
CONFIG,protocol=cssp-rdmr-pli-v0.3.0,implementation=0.3.2,schema=rdmr-block-csv-v2,firmware_revision=15,run_id=1,scenario_id=512,algorithm=3,trajectory=3,noise=1,near_line=0,seed=20260727,fs_hz=1000,sample_count=8000,block_size=50,pli_amplitude_u6=500000,value_scale=1000000,frequency_scale=1000,cycles=block_max
run_id,scenario_id,algorithm,seed,n,input,clean,output,true_frequency,estimated_frequency,estimated_frequency_next,tracker_calls,state,cycles,block_cycles_mean,block_cycles_p95,residual_ratio,desired_energy,input_error_energy,output_error_energy,numeric_flags
1,512,3,20260727,50,442794,74297,194997,49000,50000,50000,1,0,4049,1214,1159,109968,1657941,6367463,1657239,0
1,512,3,20260727,100,-498364,-71268,-102186,49000,50000,49175,2,0,4146931,84043,1151,263882,88319,6263119,155789,0
1,512,3,20260727,150,501708,9483,-1125,49000,49175,49006,3,0,6142995,123970,1162,201845,1062586,6219255,69263,0
1,512,3,20260727,200,-437321,60119,68534,49000,49006,49001,4,0,8215701,165424,1163,141949,2030073,6039386,22843,0
1,512,3,20260727,250,363699,-80157,-83916,49000,49001,49000,5,0,10218148,205478,1170,99588,457865,6139171,12952,0
1,512,3,20260727,300,-325320,34111,15399,49000,49000,49000,6,0,12191494,244945,1165,70043,462054,6238761,12716,0
1,512,3,20260727,350,292625,40056,86238,49000,49000,49000,7,0,14304661,287205,1160,49390,2031670,6221150,25255,0
1,512,3,20260727,400,-148160,-81200,-79528,49000,49000,49000,8,0,16736585,335848,1166,34659,1057403,6266836,11995,0
1,512,3,20260727,450,-39412,55400,33264,49000,49000,49000,9,0,16585580,332823,1154,26662,89916,6325778,9384,0
1,512,3,20260727,500,245464,16073,36881,49000,49000,49000,9,1,1825,1145,1156,18846,1662118,6222183,20265,0
1,512,3,20260727,550,-442424,-74295,-106157,49000,49000,49000,9,1,1595,1141,1159,13384,1657929,6299425,22744,0
1,512,3,20260727,600,525623,71265,74925,49000,49000,49000,10,1,16854253,338195,1167,13693,88314,6228030,13212,0
1,512,3,20260727,650,-503745,-9482,3657,49000,49000,49000,10,2,1571,1142,1162,10355,1062577,6073334,15236,0
1,512,3,20260727,700,449040,-60117,-58188,49000,49000,49000,10,2,1593,1145,1161,7384,2030062,6168444,20415,0
1,512,3,20260727,750,-338634,80154,106750,49000,49000,49000,10,2,1593,1145,1158,5401,457859,6159781,18896,0
1,512,3,20260727,800,319178,-34110,-18007,49000,49000,49000,10,2,1598,1147,1163,4495,462047,6189827,13117,0
1,512,3,20260727,850,-242109,-40055,-37875,49000,49000,49000,10,2,1590,1143,1160,3342,2031656,6221121,17869,0
1,512,3,20260727,900,167291,81197,107630,49000,49000,49000,10,2,1576,1142,1150,2477,1057394,6282403,15796,0
1,512,3,20260727,950,39043,-55397,-40827,49000,49000,49000,10,2,1576,1140,1152,8100,89910,6550820,15348,0
1,512,3,20260727,1000,-264254,-16073,-53547,49000,49000,49000,10,2,1579,1143,1163,5923,1662106,6337687,15829,0
1,512,3,20260727,1050,434524,74292,93750,49016,49000,49000,10,2,1575,1141,1153,4169,1657917,6170364,16911,0
1,512,3,20260727,1100,-517131,-71262,-69958,49033,49000,49000,10,2,1607,1145,1160,4063,88309,6317258,14997,0
1,512,3,20260727,1150,492822,9481,-10602,49049,49000,49000,10,2,1586,1146,1160,3123,1062565,6105557,11486,0
1,512,3,20260727,1200,-417902,60115,89535,49066,49000,49000,11,2,16689791,334910,1160,2339,2030045,6085790,17853,0
1,512,3,20260727,1250,368105,-80151,-85975,49083,49000,49000,11,2,1604,1145,1151,2374,457852,6041869,19658,0
1,512,3,20260727,1300,-329941,34108,31345,49099,49000,49000,11,2,1685,1147,1164,2947,462038,6111281,20225,0
1,512,3,20260727,1350,315746,40054,65728,49116,49000,49000,11,2,1573,1139,1167,2888,2031640,6174093,24462,0
1,512,3,20260727,1400,-230910,-81194,-95484,49133,49000,49000,11,2,1581,1144,1160,3284,1057385,6146128,14960,0
1,512,3,20260727,1450,91311,55395,73761,49149,49000,49000,11,2,1558,1145,1160,16229,89904,6353166,12915,0
1,512,3,20260727,1500,127772,16072,26326,49166,49000,49000,11,2,1573,1144,1164,12471,1662092,6308727,25515,0
1,512,3,20260727,1550,-309735,-74289,-83442,49183,49000,49000,11,2,1571,1146,1167,9639,1657905,6352422,20359,0
1,512,3,20260727,1600,388712,71259,51136,49199,49000,49000,11,2,1567,1143,1158,15237,88304,6169578,20925,0
1,512,3,20260727,1650,-398213,-9481,41548,49216,49000,49000,11,2,1583,1142,1157,10730,1062555,6229826,19666,0
1,512,3,20260727,1700,413473,-60113,-76009,49233,49000,49000,11,2,1567,1144,1160,8206,2030032,6173772,24034,0
1,512,3,20260727,1750,-437047,80148,64283,49249,49000,49000,11,2,1587,1145,1157,9336,457846,6170545,17998,0
1,512,3,20260727,1800,454214,-34106,-30367,49266,49000,49150,12,2,16768446,336481,1167,19161,462032,6206242,24235,0
1,512,3,20260727,1850,-504758,-40053,-54784,49283,49150,49150,12,2,1701,1143,1152,15436,2031627,6131050,25936,0
1,512,3,20260727,1900,477066,81191,78397,49299,49150,49150,12,2,1692,1145,1157,12378,1057376,5938666,16698,0
1,512,3,20260727,1950,-394123,-55392,-37951,49316,49150,49150,12,2,1557,1140,1163,27877,89899,6319587,18822,0
1,512,3,20260727,2000,266133,-16072,-3913,49333,49150,49150,12,2,1559,1141,1170,19798,1662081,6229719,16166,0
1,512,3,20260727,2050,-78765,74286,88179,49349,49150,49150,12,2,1573,1141,1160,14107,1657894,6292103,21861,0
1,512,3,20260727,2100,2700,-71256,-54091,49366,49150,49150,12,2,1577,1141,1156,26968,88299,6287633,19750,0
1,512,3,20260727,2150,31511,9480,-17865,49383,49150,49150,12,2,1584,1142,1159,21333,1062546,6268197,25713,0
1,512,3,20260727,2200,-58957,60111,90854,49399,49150,49150,12,2,1578,1142,1160,15887,2030021,6326984,22281,0
1,512,3,20260727,2250,114974,-80145,-109769,49416,49150,49150,12,2,1585,1146,1163,17944,457840,6255166,25728,0
1,512,3,20260727,2300,-247537,34104,38104,49433,49150,49150,12,2,1599,1143,1159,22076,462025,6196239,23426,0
1,512,3,20260727,2350,361600,40051,13175,49449,49150,49150,12,2,1585,1143,1162,18717,2031615,6338485,33839,0
1,512,3,20260727,2400,-488304,-81188,-80919,49466,49150,49337,13,2,16676342,334639,1164,15727,1057368,6189606,25700,0
1,512,3,20260727,2450,500211,55390,40147,49483,49337,49337,13,2,1571,1147,1160,22941,89894,6271094,20969,0
1,512,3,20260727,2500,-469082,16072,24014,49499,49337,49337,13,2,1601,1142,1166,16144,1662069,6124408,18898,0
1,512,3,20260727,2550,400138,-74284,-111016,49516,49337,49337,13,2,1593,1143,1153,11644,1657882,6303625,31174,0
1,512,3,20260727,2600,-441396,71253,58072,49533,49337,49337,13,2,1577,1140,1153,26048,88294,6239796,13449,0
1,512,3,20260727,2650,486795,-9479,13974,49549,49337,49337,13,2,1563,1141,1161,22678,1062537,6118314,28179,0
1,512,3,20260727,2700,-533859,-60109,-75707,49566,49337,49337,13,2,1570,1143,1161,17433,2030006,6212753,22187,0
1,512,3,20260727,2750,535061,80141,94550,49583,49337,49337,13,2,1568,1142,1162,18795,457833,6054301,20372,0
1,512,3,20260727,2800,-443553,-34103,-17364,49599,49337,49337,13,2,1583,1145,1161,16569,462018,6260599,19425,0
1,512,3,20260727,2850,333250,-40050,-52887,49616,49337,49337,13,2,1599,1140,1156,12116,2031601,6138365,25857,0
1,512,3,20260727,2900,-260462,81185,80659,49633,49337,49337,13,2,1586,1141,1153,11205,1057359,6159607,34378,0
1,512,3,20260727,2950,266008,-55387,-13516,49649,49337,49534,14,1,16914889,339409,1155,45832,89889,6151381,26837,0
1,512,3,20260727,3000,-285112,-16072,-45427,49666,49534,49534,14,1,1697,1144,1158,33924,1662055,6170261,21217,0
1,512,3,20260727,3050,286430,74281,86619,49683,49534,49534,14,1,1589,1146,1161,24829,1657868,6248320,18730,0
1,512,3,20260727,3100,-230903,-71250,-68116,49699,49534,49621,15,1,16871338,338537,1156,29474,88289,6171942,12869,0
1,512,3,20260727,3150,142985,9478,3490,49716,49621,49621,15,1,1561,1142,1160,22161,1062526,6272340,17235,0
1,512,3,20260727,3200,-24821,60107,77545,49733,49621,49621,15,1,1599,1146,1161,15766,2029991,6243732,27808,0
1,512,3,20260727,3250,-17081,-80138,-60972,49749,49621,49621,15,2,1590,1143,1159,11136,457826,6320984,11936,0
