archive,trajectory,pli_amplitude,noise,seed,algorithm,algorithm_name,search_mode,output_snr_db,frequency_mae_hz,rmse,tracker_calls,tracker_searches,tracker_grid_evaluations
main_F0_P020_Z0_N0.npz,F0,0.2,0,1006,3,A3,1,22.08587328228848,0.04359312057495117,0.011451395433932591,15,14,448
main_F0_P020_Z0_N0.npz,F0,0.2,0,1006,7,B4,0,22.382230507703444,0.0,0.011067271153441978,14,13,2613
main_F0_P020_Z0_N0.npz,F0,0.2,0,1006,7,B4,1,22.382230507703444,0.0,0.011067271153441978,14,13,416
main_F0_P020_Z0_N0.npz,F0,0.2,0,1007,2,A2,0,22.298507943321873,0.011249899864196777,0.011174463434043347,160,159,31959
main_F0_P020_Z0_N0.npz,F0,0.2,0,1007,2,A2,1,22.298507943321873,0.011249899864196777,0.011174463434043347,160,159,5088
main_F0_P020_Z0_N0.npz,F0,0.2,0,1007,3,A3,0,22.08698287877462,0.04359312057495117,0.011449932645767553,15,14,2814
main_F0_P020_Z0_N0.npz,F0,0.2,0,1007,3,A3,1,22.08698287877462,0.04359312057495117,0.011449932645767553,15,14,448
main_F0_P020_Z0_N0.npz,F0,0.2,0,1007,7,B4,0,22.383422069608937,0.0,0.011065753009100813,14,13,2613
main_F0_P020_Z0_N0.npz,F0,0.2,0,1007,7,B4,1,22.383422069608937,0.0,0.011065753009100813,14,13,416
main_F0_P020_Z0_N0.npz,F0,0.2,0,1008,2,A2,0,22.34651850076018,0.01093752384185791,0.011112867873877445,160,159,31959
main_F0_P020_Z0_N0.npz,F0,0.2,0,1008,2,A2,1,22.34651850076018,0.01093752384185791,0.011112867873877445,160,159,5088
main_F0_P020_Z0_N0.npz,F0,0.2,0,1008,3,A3,0,22.171409000061175,0.04031209945678711,0.011339179385655786,15,14,2814
main_F0_P020_Z0_N0.npz,F0,0.2,0,1008,3,A3,1,22.171409000061175,0.04031209945678711,0.011339179385655786,15,14,448
main_F0_P020_Z0_N0.npz,F0,0.2,0,1008,7,B4,0,22.42599425323895,0.0,0.011011649090338938,14,13,2613
main_F0_P020_Z0_N0.npz,F0,0.2,0,1008,7,B4,1,22.42599425323895,0.0,0.011011649090338938,14,13,416
