BOOT,protocol=cssp-rdmr-pli-v0.5.0,implementation=0.4.1,schema=rdmr-block-csv-v3,firmware_revision=17
CONFIG,protocol=cssp-rdmr-pli-v0.5.0,implementation=0.4.1,schema=rdmr-block-csv-v3,firmware_revision=17,run_id=1,scenario_id=805,algorithm=3,trajectory=4,noise=0,near_line=0,seed=1000,fs_hz=1000,sample_count=8000,block_size=50,tracker_search_mode=0,tracker_grid_points_max=201,pli_amplitude_u6=200000,value_scale=1000000,frequency_scale=1000,cycles=block_max
run_id,scenario_id,algorithm,seed,n,input,clean,output,true_frequency,estimated_frequency,estimated_frequency_next,tracker_calls,tracker_searches,tracker_grid_evaluations,state,cycles,block_cycles_total,block_cycles_mean,block_cycles_p95,residual_ratio,desired_energy,input_error_energy,output_error_energy,numeric_flags
1,805,3,1000,50,249862,74297,107645,50076,50000,50000,1,0,0,0,4853,61251,1225,1179,24093,1657941,1000562,233020,0
1,805,3,1000,100,-250173,-71268,-74211,50154,50000,50412,2,1,201,0,4097051,4152299,83046,1154,35582,88319,1001730,5428,0
1,805,3,1000,150,193460,9483,-5279,50231,50412,50215,3,2,402,0,6045002,6100339,122007,1150,26064,1062586,1003093,5044,0
1,805,3,1000,200,-129814,60119,74538,50307,50215,50203,4,3,603,0,8178077,8233431,164669,1154,18630,2030073,1004707,7434,0
1,805,3,1000,250,115407,-80157,-83221,50381,50203,50203,4,3,603,1,1605,57127,1143,1160,13565,457865,1006451,2572,0
1,805,3,1000,300,-165214,34111,23392,50452,50203,50203,4,3,603,1,1714,57189,1144,1158,12325,462054,1007968,3420,0
1,805,3,1000,350,239459,40056,55470,50521,50203,50238,5,4,804,1,14223373,14278832,285577,1163,9703,2031670,1008771,9758,0
1,805,3,1000,400,-275044,-81200,-87622,50586,50238,50238,5,4,804,2,1609,57174,1143,1164,8073,1057403,1008246,6266,0
1,805,3,1000,450,236171,55400,45046,50648,50238,50238,5,4,804,2,1602,57043,1141,1155,8213,89916,1005818,2865,0
1,805,3,1000,500,-142599,16073,39082,50705,50238,50238,5,4,804,2,1586,57084,1142,1156,5839,1662118,1001248,9752,0
