BOOT,protocol=cssp-rdmr-pli-v0.5.0,implementation=0.4.1,schema=rdmr-block-csv-v3,firmware_revision=17
CONFIG,protocol=cssp-rdmr-pli-v0.5.0,implementation=0.4.1,schema=rdmr-block-csv-v3,firmware_revision=17,run_id=1,scenario_id=809,algorithm=7,trajectory=4,noise=0,near_line=0,seed=1020,fs_hz=1000,sample_count=8000,block_size=50,tracker_search_mode=1,tracker_grid_points_max=32,pli_amplitude_u6=1000000,value_scale=1000000,frequency_scale=1000,cycles=block_max
run_id,scenario_id,algorithm,seed,n,input,clean,output,true_frequency,estimated_frequency,estimated_frequency_next,tracker_calls,tracker_searches,tracker_grid_evaluations,state,cycles,block_cycles_total,block_cycles_mean,block_cycles_p95,residual_ratio,desired_energy,input_error_energy,output_error_energy,numeric_flags
1,809,7,1020,50,698389,74297,179362,50076,50000,50000,1,0,0,0,4381,60709,1214,1211,178625,1657941,24987804,6318696,0
1,809,7,1020,100,-666658,-71268,-69196,50154,50000,50000,2,1,32,0,662719,717916,14358,1154,258110,88319,24962636,90314,0
1,809,7,1020,150,555153,9483,-27424,50231,50000,50037,3,2,64,0,979991,1035578,20712,1171,181970,1062586,24931400,16950,0
1,809,7,1020,200,-412850,60119,107053,50307,50037,50084,4,3,96,0,1299624,1355242,27105,1159,130652,2030073,24891868,34595,0
1,809,7,1020,250,295084,-80157,-122361,50381,50084,50133,5,4,128,0,1617923,1673444,33469,1154,117901,457865,24843780,40871,0
1,809,7,1020,300,-217025,34111,67661,50452,50133,50183,6,5,160,0,1939411,1994954,39899,1167,116107,462054,24790428,49101,0
1,809,7,1020,350,140951,40056,7620,50521,50183,50233,7,6,192,0,2262548,2318220,46364,1161,89267,2031670,24743056,61239,0
1,809,7,1020,400,-8508,-81200,-38325,50586,50233,50283,8,7,224,0,2683584,2739213,54784,1160,74793,1057403,24719004,64552,0
1,809,7,1020,450,-207990,55400,-2582,50648,50283,50370,9,8,256,0,2675352,2730872,54617,1164,160739,89916,24738280,68271,0
1,809,7,1020,500,477028,16073,76609,50705,50370,50430,10,9,288,0,2679850,2735426,54709,1160,123690,1662118,24816612,70339,0
1,809,7,1020,550,-725401,-74295,-124868,50759,50430,50482,11,10,320,0,2678981,2734414,54688,1162,99044,1657929,24955698,64320,0
1,809,7,1020,600,887566,71265,100023,50808,50482,50570,12,11,352,0,2692319,2747716,54954,1159,190077,88314,25134082,54161,0
1,809,7,1020,650,-946880,-9482,-12822,50851,50570,50630,13,12,384,0,2686044,2741693,54834,1157,141913,1062577,25303956,47726,0
1,809,7,1020,700,936118,-60117,-69942,50890,50630,50682,14,13,416,0,2701403,2757130,55143,1165,102172,2030062,25402642,45701,0
1,809,7,1020,750,-898544,80154,90184,50923,50682,50733,15,14,448,0,2696597,2752197,55044,1164,89934,457859,25376964,37997,0
1,809,7,1020,800,843642,-34110,-39140,50950,50733,50783,16,15,480,0,2679704,2735408,54708,1165,88321,462047,25211088,32883,0
1,809,7,1020,850,-735852,-40055,-35272,50972,50783,50833,17,16,512,0,2674623,2730322,54606,1165,66921,2031656,24945544,30415,0
1,809,7,1020,900,526856,81197,68274,50987,50833,50883,18,17,544,0,2677189,2732830,54657,1160,50636,1057394,24671712,19517,0
1,809,7,1020,950,-205164,-55397,-31861,50996,50883,50895,19,18,576,0,2679668,2735173,54703,1160,45795,89910,24497578,10473,0
1,809,7,1020,1000,-178573,-16073,-47302,50999,50895,50936,20,19,608,0,2681940,2737562,54751,1165,33551,1662106,24498312,13896,0
1,809,7,1020,1050,533206,74292,95751,50997,50936,50946,21,20,640,0,2690239,2745829,54917,1157,25343,1657917,24677650,10603,0
1,809,7,1020,1100,-780401,-71262,-75776,50987,50946,50986,22,21,672,0,2690869,2746530,54931,1166,36497,88309,24962758,2405,0
1,809,7,1020,1150,898631,9481,-3359,50972,50986,50996,23,22,704,0,2690098,2745778,54916,1159,26218,1062565,25237704,4437,0
1,809,7,1020,1200,-924294,60115,75155,50951,50996,50996,23,22,704,2,1573,57159,1143,1159,18972,2030045,25397056,8292,0
1,809,7,1020,1250,911093,-80151,-82734,50924,50996,50996,23,22,704,2,1583,57173,1143,1163,15415,457852,25390826,3252,0
1,809,7,1020,1300,-882159,34108,18551,50891,50996,50996,23,22,704,2,1573,57192,1144,1157,11017,462038,25238698,4296,0
1,809,7,1020,1350,814243,40054,68126,50853,50996,50996,23,22,704,2,1576,57081,1142,1159,8090,2031640,25010768,13770,0
1,809,7,1020,1400,-665843,-81194,-111020,50809,50996,50996,23,22,704,2,1569,57131,1143,1156,10313,1057385,24790420,17866,0
1,809,7,1020,1450,424198,55395,81115,50761,50996,50924,24,23,736,0,2682202,2737682,54754,1159,93378,89904,24640150,23953,0
1,809,7,1020,1500,-130277,16072,-107,50708,50924,50906,25,24,768,0,2691573,2747289,54946,1163,70953,1662092,24584002,30113,0
1,809,7,1020,1550,-140840,-74289,-50191,50650,50906,50864,26,25,800,0,2697956,2753633,55073,1157,53165,1657905,24610752,33902,0
1,809,7,1020,1600,329656,71259,32775,50589,50864,50816,27,26,832,0,2689177,2744745,54895,1160,94179,88304,24689894,35855,0
1,809,7,1020,1650,-431967,-9481,40795,50523,50816,50766,28,27,864,0,2686106,2741478,54830,1162,76642,1062555,24787100,45232,0
1,809,7,1020,1700,496234,-60113,-110578,50455,50766,50716,29,28,896,0,2686991,2742582,54852,1160,62129,2030032,24875514,53249,0
1,809,7,1020,1750,-580597,80148,118460,50384,50716,50666,30,29,928,0,2682381,2737915,54758,1158,79591,457846,24940360,51671,0
1,809,7,1020,1800,704415,-34106,-56894,50310,50666,50616,31,30,960,0,2691579,2747279,54946,1161,85958,462032,24977776,57562,0
1,809,7,1020,1850,-833540,-40053,-24463,50234,50616,50529,32,31,992,0,2687424,2742979,54860,1155,66483,2031627,24990782,73938,0
1,809,7,1020,1900,910680,81191,61792,50157,50529,50469,33,32,1024,0,2694110,2749662,54993,1162,59527,1057376,24983786,76300,0
1,809,7,1020,1950,-905169,-55392,-22602,50080,50469,50417,34,33,1056,0,2696653,2752206,55044,1168,173393,89899,24962706,78414,0
1,809,7,1020,2000,840431,-16072,-59284,50001,50417,50329,35,34,1088,0,2664868,2720582,54412,1158,138488,1662081,24933884,92325,0
1,809,7,1020,2050,-776170,74286,114746,49923,50329,50269,36,35,1120,0,2678108,2733489,54670,1159,114214,1657894,24902704,90031,0
1,809,7,1020,2100,759704,-71256,-101579,49845,50269,50179,37,36,1152,0,2706194,2761725,55235,1157,227388,88299,24874166,85188,0
1,809,7,1020,2150,-786474,9480,29889,49768,50179,50119,38,37,1184,0,2678991,2734641,54693,1166,176918,1062546,24853618,88811,0
1,809,7,1020,2200,802325,60111,35780,49692,50119,50030,39,38,1216,0,2695108,2750766,55015,1165,132824,2030021,24845892,99301,0
1,809,7,1020,2250,-746039,-80145,-41163,49618,50030,49932,40,39,1248,0,2691648,2747364,54947,1173,133128,457840,24856448,96001,0
1,809,7,1020,2300,597274,34104,-21505,49547,49932,49870,41,40,1280,0,2702320,2758054,55161,1160,137217,462025,24892154,86335,0
1,809,7,1020,2350,-391085,40051,106699,49478,49870,49780,42,41,1312,0,2691941,2747558,54951,1158,108540,2031615,24956824,86855,0
1,809,7,1020,2400,187708,-81188,-141506,49413,49780,49720,43,42,1344,0,2669850,2725494,54510,1160,97463,1057368,25047048,75341,0
1,809,7,1020,2450,-23307,55390,103515,49351,49720,49630,44,43,1376,0,2676816,2732124,54642,1148,202831,89894,25148290,69436,0
1,809,7,1020,2500,-116975,16072,-18419,49294,49630,49570,45,44,1408,0,2670959,2726614,54532,1166,152827,1662069,25233488,70058,0
