BOOT,protocol=cssp-rdmr-pli-v0.5.0,implementation=0.4.1,schema=rdmr-block-csv-v3,firmware_revision=17
CONFIG,protocol=cssp-rdmr-pli-v0.5.0,implementation=0.4.1,schema=rdmr-block-csv-v3,firmware_revision=17,run_id=1,scenario_id=808,algorithm=3,trajectory=4,noise=0,near_line=0,seed=1020,fs_hz=1000,sample_count=8000,block_size=50,tracker_search_mode=1,tracker_grid_points_max=32,pli_amplitude_u6=1000000,value_scale=1000000,frequency_scale=1000,cycles=block_max
run_id,scenario_id,algorithm,seed,n,input,clean,output,true_frequency,estimated_frequency,estimated_frequency_next,tracker_calls,tracker_searches,tracker_grid_evaluations,state,cycles,block_cycles_total,block_cycles_mean,block_cycles_p95,residual_ratio,desired_energy,input_error_energy,output_error_energy,numeric_flags
1,808,3,1020,50,698389,74297,179362,50076,50000,50000,1,0,0,0,4740,61117,1222,1212,178625,1657941,24987804,6318696,0
1,808,3,1020,100,-666658,-71268,-69196,50154,50000,50000,2,1,32,0,662632,717878,14358,1155,258110,88319,24962636,90314,0
1,808,3,1020,150,555153,9483,-27424,50231,50000,50037,3,2,64,0,980017,1035653,20713,1172,181970,1062586,24931400,16950,0
1,808,3,1020,200,-412850,60119,107053,50307,50037,50084,4,3,96,0,1299763,1355430,27109,1160,130652,2030073,24891868,34595,0
1,808,3,1020,250,295084,-80157,-122361,50381,50084,50133,5,4,128,0,1617836,1673406,33468,1155,117901,457865,24843780,40871,0
1,808,3,1020,300,-217025,34111,67661,50452,50133,50183,6,5,160,0,1939437,1995029,39901,1168,116107,462054,24790428,49101,0
1,808,3,1020,350,140951,40056,7620,50521,50183,50233,7,6,192,0,2262574,2318295,46366,1162,89267,2031670,24743056,61239,0
1,808,3,1020,400,-8508,-81200,-38325,50586,50233,50283,8,7,224,0,2683610,2739288,54786,1161,74793,1057403,24719004,64552,0
1,808,3,1020,450,-207990,55400,-2582,50648,50283,50370,9,8,256,0,2675378,2730947,54619,1165,160739,89916,24738280,68271,0
1,808,3,1020,500,477028,16073,76609,50705,50370,50430,10,9,288,0,2679876,2735501,54710,1161,123690,1662118,24816612,70339,0
1,808,3,1020,550,-725401,-74295,-124868,50759,50430,50482,11,10,320,0,2679007,2734489,54690,1163,99044,1657929,24955698,64320,0
1,808,3,1020,600,887566,71265,100023,50808,50482,50570,12,11,352,0,2692345,2747791,54956,1160,190077,88314,25134082,54161,0
1,808,3,1020,650,-946880,-9482,-12822,50851,50570,50630,13,12,384,0,2686070,2741768,54835,1158,141913,1062577,25303956,47726,0
1,808,3,1020,700,936118,-60117,-69942,50890,50630,50682,14,13,416,0,2701429,2757205,55144,1166,102172,2030062,25402642,45701,0
1,808,3,1020,750,-898544,80154,90184,50923,50682,50733,15,14,448,0,2696623,2752272,55045,1165,89934,457859,25376964,37997,0
