BOOT,protocol=cssp-rdmr-pli-v0.5.0,implementation=0.4.1,schema=rdmr-block-csv-v3,firmware_revision=17
CONFIG,protocol=cssp-rdmr-pli-v0.5.0,implementation=0.4.1,schema=rdmr-block-csv-v3,firmware_revision=17,run_id=1,scenario_id=810,algorithm=2,trajectory=4,noise=0,near_line=0,seed=1020,fs_hz=1000,sample_count=8000,block_size=50,tracker_search_mode=1,tracker_grid_points_max=32,pli_amplitude_u6=1000000,value_scale=1000000,frequency_scale=1000,cycles=block_max
run_id,scenario_id,algorithm,seed,n,input,clean,output,true_frequency,estimated_frequency,estimated_frequency_next,tracker_calls,tracker_searches,tracker_grid_evaluations,state,cycles,block_cycles_total,block_cycles_mean,block_cycles_p95,residual_ratio,desired_energy,input_error_energy,output_error_energy,numeric_flags
1,810,2,1020,50,698389,74297,179362,50076,50000,50000,1,0,0,0,4018,60457,1209,1211,178625,1657941,24987804,6318696,0
1,810,2,1020,100,-666658,-71268,-69196,50154,50000,50000,2,1,32,0,662691,717888,14358,1154,258110,88319,24962636,90314,0
1,810,2,1020,150,555153,9483,-27424,50231,50000,50037,3,2,64,0,979963,1035550,20711,1171,181970,1062586,24931400,16950,0
1,810,2,1020,200,-412850,60119,107053,50307,50037,50084,4,3,96,0,1299596,1355214,27104,1159,130652,2030073,24891868,34595,0
1,810,2,1020,250,295084,-80157,-122361,50381,50084,50133,5,4,128,0,1617895,1673416,33468,1154,117901,457865,24843780,40871,0
1,810,2,1020,300,-217025,34111,67661,50452,50133,50183,6,5,160,0,1939383,1994926,39899,1167,116107,462054,24790428,49101,0
1,810,2,1020,350,140951,40056,7620,50521,50183,50233,7,6,192,0,2262520,2318192,46364,1161,89267,2031670,24743056,61239,0
1,810,2,1020,400,-8508,-81200,-38325,50586,50233,50283,8,7,224,0,2683556,2739185,54784,1160,74793,1057403,24719004,64552,0
1,810,2,1020,450,-207990,55400,-2582,50648,50283,50370,9,8,256,0,2675324,2730844,54617,1164,160739,89916,24738280,68271,0
1,810,2,1020,500,477028,16073,76609,50705,50370,50430,10,9,288,0,2679822,2735398,54708,1160,123690,1662118,24816612,70339,0
1,810,2,1020,550,-725401,-74295,-124868,50759,50430,50482,11,10,320,0,2678953,2734386,54688,1162,99044,1657929,24955698,64320,0
1,810,2,1020,600,887566,71265,100023,50808,50482,50570,12,11,352,0,2692291,2747688,54954,1159,190077,88314,25134082,54161,0
1,810,2,1020,650,-946880,-9482,-12822,50851,50570,50630,13,12,384,0,2686016,2741665,54833,1157,141913,1062577,25303956,47726,0
1,810,2,1020,700,936118,-60117,-69942,50890,50630,50682,14,13,416,0,2701375,2757102,55142,1165,102172,2030062,25402642,45701,0
1,810,2,1020,750,-898544,80154,90184,50923,50682,50733,15,14,448,0,2696569,2752169,55043,1164,89934,457859,25376964,37997,0
1,810,2,1020,800,843642,-34110,-39140,50950,50733,50783,16,15,480,0,2679676,2735380,54708,1165,88321,462047,25211088,32883,0
1,810,2,1020,850,-735852,-40055,-35272,50972,50783,50833,17,16,512,0,2674595,2730294,54606,1165,66921,2031656,24945544,30415,0
1,810,2,1020,900,526856,81197,68274,50987,50833,50883,18,17,544,0,2677158,2732799,54656,1160,50636,1057394,24671712,19517,0
1,810,2,1020,950,-205164,-55397,-31861,50996,50883,50895,19,18,576,0,2679637,2735142,54703,1160,45795,89910,24497578,10473,0
1,810,2,1020,1000,-178573,-16073,-47302,50999,50895,50936,20,19,608,0,2681909,2737531,54751,1165,33551,1662106,24498312,13896,0
1,810,2,1020,1050,533206,74292,95751,50997,50936,50946,21,20,640,0,2690208,2745798,54916,1157,25343,1657917,24677650,10603,0
1,810,2,1020,1100,-780401,-71262,-75776,50987,50946,50986,22,21,672,0,2690838,2746499,54930,1166,36497,88309,24962758,2405,0
1,810,2,1020,1150,898631,9481,-3359,50972,50986,50996,23,22,704,0,2690067,2745747,54915,1159,26218,1062565,25237704,4437,0
1,810,2,1020,1200,-924294,60115,75155,50951,50996,50999,24,23,736,0,2678888,2734474,54689,1159,18972,2030045,25397056,8292,0
1,810,2,1020,1250,911093,-80151,-82681,50924,50999,50999,25,24,768,0,2671456,2727049,54541,1171,15472,457852,25390826,3344,0
1,810,2,1020,1300,-882159,34108,18351,50891,50999,50999,26,25,800,0,2690663,2746376,54928,1161,11077,462038,25238698,4508,0
1,810,2,1020,1350,814243,40054,68462,50853,50999,50962,27,26,832,0,2698323,2753767,55075,1153,8159,2031640,25010768,14175,0
