BOOT,protocol=cssp-rdmr-pli-v0.5.0,implementation=0.4.1,schema=rdmr-block-csv-v3,firmware_revision=17
CONFIG,protocol=cssp-rdmr-pli-v0.5.0,implementation=0.4.1,schema=rdmr-block-csv-v3,firmware_revision=17,run_id=1,scenario_id=811,algorithm=3,trajectory=0,noise=0,near_line=0,seed=1007,fs_hz=1000,sample_count=8000,block_size=50,tracker_search_mode=1,tracker_grid_points_max=32,pli_amplitude_u6=200000,value_scale=1000000,frequency_scale=1000,cycles=block_max
run_id,scenario_id,algorithm,seed,n,input,clean,output,true_frequency,estimated_frequency,estimated_frequency_next,tracker_calls,tracker_searches,tracker_grid_evaluations,state,cycles,block_cycles_total,block_cycles_mean,block_cycles_p95,residual_ratio,desired_energy,input_error_energy,output_error_energy,numeric_flags
1,811,3,1007,50,-20139,74297,69004,50000,50000,50000,1,0,0,0,4756,61451,1229,1159,23778,1657941,999943,277520,0
1,811,3,1007,100,23163,-71268,-67730,50000,50000,49175,2,1,32,0,670035,725572,14511,1162,24546,88319,999833,6265,0
1,811,3,1007,150,-84942,9483,14236,50000,49175,49175,2,1,32,1,1731,57271,1145,1169,19898,1062586,999724,11344,0
1,811,3,1007,200,154540,60119,54654,50000,49175,49175,2,1,32,1,1638,57094,1142,1157,16580,2030073,999614,23275,0
1,811,3,1007,250,-174573,-80157,-63299,50000,49175,49718,3,2,64,1,1627891,1683331,33667,1158,19257,457865,999504,17623,0
1,811,3,1007,300,128522,34111,14828,50000,49718,49718,3,2,64,2,1616,57204,1144,1159,14741,462054,999394,8394,0
1,811,3,1007,350,-54348,40056,63839,50000,49718,49718,3,2,64,2,1618,57414,1148,1175,10601,2031670,999285,10206,0
1,811,3,1007,400,13199,-81200,-97385,50000,49718,49718,3,2,64,2,1605,57250,1145,1161,8351,1057403,999175,6810,0
1,811,3,1007,450,-38993,55400,57003,50000,49718,49718,3,2,64,2,1583,57156,1143,1157,23359,89916,999066,3212,0
1,811,3,1007,500,110462,16073,24119,50000,49718,49718,3,2,64,2,1591,56996,1140,1156,17501,1662118,998957,8741,0
1,811,3,1007,550,-168678,-74295,-79112,50000,49718,49718,3,2,64,2,1565,57053,1141,1156,12799,1657929,998848,8645,0
1,811,3,1007,600,165643,71265,62638,50000,49718,49718,3,2,64,2,1579,57201,1144,1159,9750,88314,998738,2530,0
1,811,3,1007,650,-103855,-9482,11721,50000,49718,49718,3,2,64,2,1621,56966,1139,1159,7084,1062577,998628,5865,0
1,811,3,1007,700,34250,-60117,-82660,50000,49718,49718,3,2,64,2,1596,57115,1142,1153,5295,2030062,998519,9923,0
1,811,3,1007,750,-14207,80154,91694,50000,49718,49718,3,2,64,2,1595,57166,1143,1160,6285,457859,998409,4624,0
1,811,3,1007,800,60246,-34110,-31376,50000,49718,49718,3,2,64,2,1584,57030,1141,1153,8451,462047,998300,4476,0
1,811,3,1007,850,-134406,-40055,-48566,50000,49718,49929,4,3,96,2,2689184,2744542,54891,1153,6741,2031656,998191,10068,0
1,811,3,1007,900,175543,81197,87173,50000,49929,49929,4,3,96,2,1570,56898,1138,1157,5004,1057394,998082,4863,0
1,811,3,1007,950,-149738,-55397,-47493,50000,49929,49929,4,3,96,2,1584,57040,1141,1159,5401,89910,997972,885,0
1,811,3,1007,1000,78262,-16073,-33504,50000,49929,49929,4,3,96,2,1584,57069,1141,1160,4098,1662106,997862,6515,0
1,811,3,1007,1050,-20037,74292,88534,50000,49929,49929,4,3,96,2,1610,57151,1143,1167,3116,1657917,997752,6845,0
1,811,3,1007,1100,23062,-71262,-72173,50000,49929,49929,4,3,96,2,1582,57037,1141,1155,7613,88309,997643,1156,0
1,811,3,1007,1150,-84837,9481,-2095,50000,49929,49929,4,3,96,2,1597,57247,1145,1157,6169,1062565,997533,4463,0
1,811,3,1007,1200,154428,60115,73042,50000,49929,49929,4,3,96,2,1598,57164,1143,1156,4624,2030045,997424,8106,0
1,811,3,1007,1250,-174459,-80151,-82177,50000,49929,49929,4,3,96,2,1605,57103,1142,1167,3491,457852,997315,2420,0
1,811,3,1007,1300,128411,34108,21969,50000,49929,49929,4,3,96,2,1599,56978,1140,1154,3160,462038,997205,2142,0
1,811,3,1007,1350,-54243,40054,57943,50000,49929,49929,4,3,96,2,1600,56882,1138,1164,2475,2031640,997096,7951,0
1,811,3,1007,1400,13098,-81194,-91678,50000,49929,49929,4,3,96,2,1611,56765,1135,1144,2082,1057385,996987,4731,0
1,811,3,1007,1450,-38891,55395,51424,50000,49929,49982,5,4,128,2,2701966,2757376,55148,1157,8316,89904,996878,1069,0
1,811,3,1007,1500,110354,16072,30878,50000,49982,49982,5,4,128,2,1610,56979,1140,1154,6315,1662092,996769,6482,0
1,811,3,1007,1550,-168566,-74289,-86073,50000,49982,49982,5,4,128,2,1585,57113,1142,1154,4656,1657905,996660,6683,0
1,811,3,1007,1600,165530,71259,69758,50000,49982,49982,5,4,128,2,1610,57224,1144,1156,5870,88304,996550,929,0
1,811,3,1007,1650,-103746,-9481,4484,50000,49982,49982,5,4,128,2,1602,56948,1139,1153,4673,1062555,996441,4232,0
1,811,3,1007,1700,34147,-60113,-75431,50000,49982,49982,5,4,128,2,1595,57237,1145,1167,3525,2030032,996332,7954,0
1,811,3,1007,1750,-14107,80148,84589,50000,49982,49982,5,4,128,2,1595,57057,1141,1159,3058,457846,996223,2384,0
1,811,3,1007,1800,60143,-34106,-24410,50000,49982,49982,5,4,128,2,1604,56863,1137,1155,3432,462032,996114,2141,0
1,811,3,1007,1850,-134297,-40053,-55493,50000,49982,49982,5,4,128,2,1584,56948,1139,1161,2738,2031627,996005,7873,0
1,811,3,1007,1900,175430,81191,89246,50000,49982,49982,5,4,128,2,1603,57036,1141,1156,2158,1057376,995895,4550,0
1,811,3,1007,1950,-149626,-55392,-49022,50000,49982,49982,5,4,128,2,1605,57136,1143,1157,5236,89899,995786,833,0
1,811,3,1007,2000,78155,-16072,-32017,50000,49982,49982,5,4,128,2,1610,57147,1143,1158,4055,1662081,995677,6431,0
1,811,3,1007,2050,-19936,74286,87059,50000,49982,49995,6,5,160,2,2685810,2741306,54826,1168,3074,1657894,995568,6700,0
1,811,3,1007,2100,22961,-71256,-70409,50000,49995,49995,6,5,160,2,1586,56957,1139,1150,5626,88299,995459,972,0
1,811,3,1007,2150,-84731,9480,-3866,50000,49995,49995,6,5,160,2,1584,56759,1135,1145,4570,1062546,995349,4250,0
1,811,3,1007,2200,154318,60111,74815,50000,49995,49995,6,5,160,2,1598,56984,1140,1156,3463,2030021,995240,7946,0
1,811,3,1007,2250,-174346,-80145,-83979,50000,49995,49995,6,5,160,2,1591,56914,1138,1156,2920,457840,995130,2354,0
1,811,3,1007,2300,128301,34104,23808,50000,49995,49995,6,5,160,2,1579,56999,1140,1153,3180,462025,995022,2104,0
1,811,3,1007,2350,-54139,40051,56090,50000,49995,49995,6,5,160,2,1576,57131,1143,1161,2541,2031615,994912,7848,0
1,811,3,1007,2400,12997,-81188,-89846,50000,49995,49995,6,5,160,2,1603,57019,1140,1166,2044,1057368,994803,4553,0
1,811,3,1007,2450,-38789,55390,49629,50000,49995,49995,6,5,160,2,1583,57097,1142,1156,5907,89894,994695,855,0
1,811,3,1007,2500,110247,16072,31403,50000,49995,49995,6,5,160,2,1601,56962,1139,1153,4560,1662069,994586,6441,0
1,811,3,1007,2550,-168454,-74284,-86446,50000,49995,49995,6,5,160,2,1585,56986,1140,1153,3426,1657882,994477,6684,0
1,811,3,1007,2600,165418,71253,70120,50000,49995,49995,6,5,160,2,1587,57141,1143,1154,5421,88294,994368,939,0
1,811,3,1007,2650,-103638,-9479,4114,50000,49995,49998,7,6,192,2,2694365,2749686,54994,1148,4397,1062537,994259,4239,0
1,811,3,1007,2700,34044,-60109,-74974,50000,49998,49998,7,6,192,2,1613,57164,1143,1152,3338,2030006,994150,7948,0
1,811,3,1007,2750,-14006,80141,84129,50000,49998,49998,7,6,192,2,1584,57044,1141,1152,2858,457833,994041,2359,0
1,811,3,1007,2800,60039,-34103,-23959,50000,49998,49998,7,6,192,2,1602,57054,1141,1149,3176,462018,993932,2110,0
1,811,3,1007,2850,-134188,-40050,-55936,50000,49998,49998,7,6,192,2,1611,57052,1141,1159,2543,2031601,993823,7850,0
1,811,3,1007,2900,175317,81185,89691,50000,49998,49998,7,6,192,2,1601,57059,1141,1159,2041,1057359,993713,4549,0
1,811,3,1007,2950,-149515,-55387,-49477,50000,49998,49998,7,6,192,2,1600,57073,1141,1152,5719,89889,993605,847,0
1,811,3,1007,3000,78049,-16072,-31552,50000,49998,49998,7,6,192,2,1569,57046,1141,1157,4420,1662055,993496,6434,0
1,811,3,1007,3050,-19834,74281,86593,50000,49998,49998,7,6,192,2,1596,57011,1140,1158,3328,1657868,993387,6684,0
1,811,3,1007,3100,22860,-71250,-70268,50000,49998,49998,7,6,192,2,1578,57091,1142,1158,5523,88289,993278,945,0
1,811,3,1007,3150,-84626,9478,-3962,50000,49998,49998,7,6,192,2,1592,57197,1144,1169,4484,1062526,993169,4244,0
1,811,3,1007,3200,154207,60107,74901,50000,49998,49998,7,6,192,2,1579,57049,1141,1158,3401,2029991,993060,7944,0
1,811,3,1007,3250,-174233,-80138,-84064,50000,49998,49999,8,7,224,2,2694873,2750256,55005,1152,2891,457826,992951,2356,0
1,811,3,1007,3300,128190,34101,23917,50000,49999,49999,8,7,224,2,1601,56981,1140,1153,3185,462010,992843,2108,0
1,811,3,1007,3350,-54034,40049,55972,50000,49999,49999,8,7,224,2,1600,56940,1139,1158,2548,2031585,992734,7849,0
