BOOT,protocol=cssp-rdmr-pli-v0.5.0,implementation=0.4.1,schema=rdmr-block-csv-v3,firmware_revision=17
CONFIG,protocol=cssp-rdmr-pli-v0.5.0,implementation=0.4.1,schema=rdmr-block-csv-v3,firmware_revision=17,run_id=1,scenario_id=807,algorithm=2,trajectory=4,noise=0,near_line=0,seed=1000,fs_hz=1000,sample_count=8000,block_size=50,tracker_search_mode=1,tracker_grid_points_max=32,pli_amplitude_u6=200000,value_scale=1000000,frequency_scale=1000,cycles=block_max
run_id,scenario_id,algorithm,seed,n,input,clean,output,true_frequency,estimated_frequency,estimated_frequency_next,tracker_calls,tracker_searches,tracker_grid_evaluations,state,cycles,block_cycles_total,block_cycles_mean,block_cycles_p95,residual_ratio,desired_energy,input_error_energy,output_error_energy,numeric_flags
1,807,2,1000,50,249862,74297,107645,50076,50000,50000,1,0,0,0,4018,60585,1212,1240,24093,1657941,1000562,233020,0
1,807,2,1000,100,-250173,-71268,-74211,50154,50000,50412,2,1,32,0,663574,718773,14375,1153,35582,88319,1001730,5428,0
1,807,2,1000,150,193460,9483,-5279,50231,50412,50215,3,2,64,0,971560,1026848,20537,1149,26064,1062586,1003093,5044,0
1,807,2,1000,200,-129814,60119,74538,50307,50215,50203,4,3,96,0,1312778,1368083,27362,1153,18630,2030073,1004707,7434,0
1,807,2,1000,250,115407,-80157,-83221,50381,50203,50200,5,4,128,0,1622526,1677999,33560,1159,13565,457865,1006451,2572,0
1,807,2,1000,300,-165214,34111,23382,50452,50200,50200,6,5,160,0,1939588,1995092,39902,1155,12342,462054,1007968,3441,0
1,807,2,1000,350,239459,40056,55471,50521,50200,50237,7,6,192,0,2280673,2336365,46727,1162,9727,2031670,1008771,9805,0
1,807,2,1000,400,-275044,-81200,-87619,50586,50237,50284,8,7,224,0,2681795,2737234,54745,1157,8100,1057403,1008246,6287,0
1,807,2,1000,450,236171,55400,45511,50648,50284,50371,9,8,256,0,2700217,2755539,55111,1147,7856,89916,1005818,2491,0
1,807,2,1000,500,-142599,16073,36983,50705,50371,50430,10,9,288,0,2687861,2743173,54863,1161,5557,1662118,1001248,8389,0
1,807,2,1000,550,52452,-74295,-93672,50759,50430,50482,11,10,320,0,2692540,2748035,54961,1159,4411,1657929,994980,9158,0
1,807,2,1000,600,-13983,71265,78889,50808,50482,50570,12,11,352,0,2717453,2772828,55457,1157,24110,88314,988347,3708,0
1,807,2,1000,650,26269,-9482,-4626,50851,50570,50630,13,12,384,0,2719193,2774597,55492,1166,18916,1062577,983393,6197,0
1,807,2,1000,700,-41383,-60117,-66800,50890,50630,50682,14,13,416,0,2690427,2745815,54916,1152,13674,2030062,982304,9101,0
1,807,2,1000,750,6239,80154,77233,50923,50682,50733,15,14,448,0,2698548,2754087,55082,1160,9575,457859,986420,3614,0
1,807,2,1000,800,90510,-34110,-18959,50950,50733,50783,16,15,480,0,2687909,2743362,54867,1156,8586,462047,995234,3491,0
1,807,2,1000,850,-205517,-40055,-58927,50972,50783,50833,17,16,512,0,2686269,2741556,54831,1158,6868,2031656,1006085,8678,0
1,807,2,1000,900,272846,81197,91048,50987,50833,50883,18,17,544,0,2696296,2751682,55034,1158,5928,1057394,1014914,4767,0
1,807,2,1000,950,-255187,-55397,-49801,50996,50883,50895,19,18,576,0,2699368,2754770,55095,1163,9452,89910,1017960,830,0
1,807,2,1000,1000,172458,-16073,-32027,50999,50895,50936,20,19,608,0,2701791,2757114,55142,1156,6879,1662106,1013606,6316,0
1,807,2,1000,1050,-84561,74292,87468,50997,50936,50946,21,20,640,0,2696862,2752330,55047,1159,5140,1657917,1003352,6733,0
1,807,2,1000,1100,42706,-71262,-71604,50987,50946,50986,22,21,672,0,2706009,2761487,55230,1164,11806,88309,991253,1097,0
1,807,2,1000,1150,-49329,9481,-3489,50972,50986,50996,23,22,704,0,2701251,2756701,55134,1154,9148,1062565,982067,4086,0
1,807,2,1000,1200,59372,60115,75469,50951,50996,50999,24,23,736,0,2680603,2736045,54721,1155,6798,2030045,979102,7601,0
1,807,2,1000,1250,-21371,-80151,-85880,50924,50999,50999,25,24,768,0,2688462,2743801,54876,1158,6303,457852,982897,2283,0
1,807,2,1000,1300,-76069,34108,26756,50891,50999,50999,26,25,800,0,2701445,2756918,55138,1165,6293,462038,991342,2037,0
1,807,2,1000,1350,191259,40054,52858,50853,50999,50962,27,26,832,0,2693775,2749138,54983,1151,4680,2031640,1000967,7614,0
1,807,2,1000,1400,-261012,-81194,-87752,50809,50962,50953,28,27,864,0,2703142,2758365,55167,1146,3475,1057385,1008558,4827,0
1,807,2,1000,1450,251033,55395,48897,50761,50953,50913,29,28,896,0,2706751,2762287,55246,1161,12835,89904,1012309,1764,0
1,807,2,1000,1500,-183610,16072,30642,50708,50913,50903,30,29,928,0,2693680,2749065,54981,1162,10119,1662092,1012048,7259,0
1,807,2,1000,1550,119675,-74289,-84272,50650,50903,50863,31,30,960,0,2705095,2760692,55214,1156,7963,1657905,1008823,7367,0
1,807,2,1000,1600,-109768,71259,66783,50589,50863,50815,32,31,992,0,2704873,2760384,55208,1161,9450,88304,1004220,1646,0
1,807,2,1000,1650,154062,-9481,8628,50523,50815,50766,33,32,1024,0,2688762,2744185,54884,1158,6698,1062555,999666,5145,0
1,807,2,1000,1700,-204111,-60113,-81022,50455,50766,50716,34,33,1056,0,2683146,2738666,54773,1157,5005,2030032,996082,9432,0
1,807,2,1000,1750,204647,80148,91834,50384,50716,50666,35,34,1088,0,2692011,2747194,54944,1156,7087,457846,993835,4714,0
1,807,2,1000,1800,-140809,-34106,-33200,50310,50666,50616,36,35,1120,0,2707183,2762564,55251,1158,10461,462032,992887,4848,0
1,807,2,1000,1850,51760,-40053,-45524,50234,50616,50529,37,36,1152,0,2693252,2748532,54971,1159,8372,2031627,992974,10508,0
1,807,2,1000,1900,544,81191,79451,50157,50529,50469,38,37,1184,0,2712487,2768033,55361,1153,6401,1057376,993709,7005,0
1,807,2,1000,1950,18315,-55392,-38913,50080,50469,50417,39,38,1216,0,2711155,2766733,55335,1156,5668,89899,994797,3437,0
1,807,2,1000,2000,-87344,-16072,-42811,50001,50417,50329,40,39,1248,0,2677313,2732671,54653,1149,4535,1662081,996064,9392,0
1,807,2,1000,2050,147712,74286,97776,49923,50329,50269,41,40,1280,0,2689673,2745266,54905,1164,4232,1657894,997399,10002,0
1,807,2,1000,2100,-151347,-71256,-81949,49845,50269,50179,42,41,1312,0,2694078,2749287,54986,1152,28826,88299,998712,4744,0
1,807,2,1000,2150,100489,9480,7240,49768,50179,50119,43,42,1344,0,2711581,2766794,55336,1149,22770,1062546,999889,8132,0
1,807,2,1000,2200,-45574,60111,63828,49692,50119,50030,44,43,1376,0,2683331,2738837,54777,1161,16850,2030021,1000684,11693,0
1,807,2,1000,2250,43178,-80145,-74086,49618,50030,49932,45,44,1408,0,2719853,2775095,55502,1145,12843,457840,1000768,5546,0
1,807,2,1000,2300,-108635,34104,15462,49547,49932,49870,46,45,1440,0,2715274,2770965,55419,1162,9265,462025,999828,4654,0
1,807,2,1000,2350,202363,40051,63280,49478,49870,49780,47,46,1472,0,2698189,2753703,55074,1162,6697,2031615,997593,10585,0
1,807,2,1000,2400,-261145,-81188,-95001,49413,49780,49720,48,47,1504,0,2688579,2744172,54883,1166,5584,1057368,993999,7955,0
1,807,2,1000,2450,248608,55390,52709,49351,49720,49630,49,48,1536,0,2702606,2757956,55159,1152,25156,89894,989387,4660,0
1,807,2,1000,2500,-183359,16072,30842,49294,49630,49570,50,49,1568,0,2697799,2753211,55064,1158,19204,1662069,984669,9761,0
1,807,2,1000,2550,121748,-74284,-88116,49240,49570,49517,51,50,1600,0,2682118,2737522,54750,1154,14502,1657882,981250,8944,0
1,807,2,1000,2600,-109711,71253,73849,49191,49517,49429,52,51,1632,0,2702650,2758263,55165,1158,17740,88294,980734,2394,0
1,807,2,1000,2650,143660,-9479,-897,49148,49429,49369,53,52,1664,0,2705560,2760886,55218,1159,12739,1062537,984315,5732,0
1,807,2,1000,2700,-172955,-60109,-68939,49109,49369,49317,54,53,1696,0,2692656,2748112,54962,1160,8996,2030006,991944,9925,0
1,807,2,1000,2750,142170,80141,77265,49076,49317,49266,55,54,1728,0,2719338,2774954,55499,1164,6544,457833,1001831,4219,0
