scenario_id,seed,n,clean,interference,noise,input,true_frequency_hz
DEV-F1-20DB,4,2,0.0320769325,0.498784661,-0.0159141049,0.514947534,49
DEV-F1-20DB,4,49,0.074297592,-0.130136296,0.00177022407,-0.0540684797,49
DEV-F1-20DB,4,50,0.0647210255,-0.270304084,-0.00129711675,-0.206880182,49
DEV-F1-20DB,4,99,-0.071268484,-0.0254059732,0.0159759112,-0.0806985497,49
DEV-F1-20DB,4,100,-0.0760838613,0.12709406,0.011701474,0.062711671,49
DEV-F1-20DB,4,3998,-0.0320759788,0.132636905,-0.0076929694,0.0928679556,49
DEV-F1-20DB,4,3999,-0.0160721224,0.2718153,-0.0223355908,0.233407587,49
DEV-F1-20DB,4,4000,1.44556168e-06,0.385431558,-0.0185319688,0.36690104,51
DEV-F1-20DB,4,4001,0.0160750076,0.465070486,-0.00955325365,0.471592247,51
DEV-F1-20DB,4,7999,-0.0160708018,0.265360236,-0.0272522289,0.222037211,51
